127.0.0.1 - - [31/Jul/2020:17:02:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Jul/2020:17:02:31 +0900] "GET /board/ HTTP/1.1" 200 5754
0:0:0:0:0:0:0:1 - - [31/Jul/2020:17:02:31 +0900] "GET /board/resources/jquery-ui-1.11.4.custom/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:17:02:31 +0900] "GET /board/resources/smarteditor/js/HuskyEZCreator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:17:02:31 +0900] "GET /board/resources/jquery-ui-1.11.4.custom/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:17:02:31 +0900] "GET /board/resources/css/style1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:17:02:31 +0900] "GET /board/resources/images/%EB%A0%88%EB%85%B8%EB%B3%B4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:17:02:31 +0900] "GET /board/resources/images/%EB%8F%99%EC%9B%90.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:17:02:31 +0900] "GET /board/resources/images/%EC%9B%90%EB%8D%94%ED%94%8C%EB%A0%88%EC%9D%B4%EC%8A%A4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:17:02:31 +0900] "GET /board/resources/images/%EB%AF%B8%EC%83%A4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:17:02:36 +0900] "GET /board/resources/css/style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:17:02:36 +0900] "GET /board/emp/empList.action HTTP/1.1" 200 54997
0:0:0:0:0:0:0:1 - - [31/Jul/2020:17:02:36 +0900] "GET /board/opendata/weatherXML.action HTTP/1.1" 200 7949
0:0:0:0:0:0:0:1 - - [31/Jul/2020:17:02:36 +0900] "GET /board/resources/images/weather/03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:17:02:36 +0900] "GET /board/resources/images/weather/04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:17:02:36 +0900] "GET /board/resources/images/weather/%EC%97%86%EC%9D%8C.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:17:02:36 +0900] "GET /board/resources/images/weather/02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:17:02:36 +0900] "GET /board/resources/images/weather/15.png HTTP/1.1" 304 -
